#"Try and"# is common in colloquial speech, but #"try to"# is recommended for writing.	#“try and”#常用于口语，但写作建议用#“try to”#。
#"needs cut"# is only accepted in certain dialects. For something more widely acceptable, try #"cut" or "to be cut"#.	#“needs cut”#常出现在某些方言中。更广泛使用的是#“cut”或“to be cut”#。
#'Also'# is not used at the end of the sentence. Use #"as well"# instead.	#“also”#一般不用于句尾。通常用#“as well”#代替。
#'Each', 'every', 'either' and 'neither'# are used with singular and thus take a singular pronoun: #"his", "her", "his or her", "its"#	 #“each”、“every”、“either”和“neither”#与单数一起使用，因此取单数代词：#“his”、“her”、“his or her”、“its”#
#'Each', 'every', 'either' and 'neither'# are used with singular. Did you mean #"all"#?	#“each”、“every”、“either”和“neither”#与单数一起使用。你的意思是#“all”#？
#'Everyday'# is an adjective, and the comma is missing. Did you mean #"every day, I"#?	#“Everyday”#是一个形容词，没有逗号。你是要表达#"every day, I"吗#？
#'Everyday'# is an adjective. Did you mean #"every day"#?	#“Everyday”#是一个形容词。你是想说#“every day”#？
#'Going to'# requires the base form: #"be"#	#“Going to”#需要基本形式：#“be”#
#'Say'# cannot be followed by a direct personal object. Did you mean #"tell"#?	#'Say'#后面不能跟直接的个人物品。你是说#tell#吗？
#'So as to'# expresses purpose and is used in formal texts. Consider using #"to"#	#“So as to”#表示目的，并在正式文本中使用。考虑使用#“to”#
#'afraid'# is not a verb. You should rather write: #"You're not afraid"#.	#afraid#不是动词。你应该写下：#You're not afraid#。 
#'combine together'# is redundant. Use #"combine"#	#“combine together”#是多余的。使用#“combine”#
#'woman'# is the singular form of #'women'#. Consider using #"woman"#.	#“woman”#是#“women”#的单数形式。考虑使用#“woman”#。
A comma should precede the tag question (i.e., the yes/no-question at the end).	标记问题（即结尾的是/否问题）前应加逗号。
Consider replacing #"In a fun way"# with the adverb for #"fun"#; e.g., #"in a hasty manner" with "hastily"#.	考虑替换掉#"In a fun way"#而使用副词#"fun"#，例如:#"in a hasty manner" with "hastily"#。 
Consider shortening this phrase to just #"whether"#, or rephrase the sentence to avoid #"the question"#.	考虑将这个短语缩短为#“whether”#，或者重新措辞这个句子以避免#“the question”#。
Consider shortening this phrase to just #"whether"#. It is correct though if you mean #'regardless of whether'#.	 考虑将这个短语缩短为#“whether”#。不过，如果你的意思是#“regardless of whether”#。
Consider using #"All Greeks" or "All of the Greeks"#.	考虑使用#"All Greeks" or "All of the Greeks"#。
Consider using #"many"#.	考虑使用#"many"#。
Consider using #"some student" or "some of the student"#.	考虑使用#"some student" or "some of the student"#。
Consider using a past participle here: #"absorbed"#.	考虑在这里使用过去分词：#"absorbed"#。
Consider using the base form #"be"#.	 考虑使用基本形式#"be"#。 
Consider using the past participle #"busied"#?	 考虑使用过去分词#"busied"#？
Consider using the plural form here: #"Plats"#.	 请考虑在此处使用复数形式：#"Plats"#。
Consider using third-person verb forms for singular and mass nouns: #"asks"#.	 考虑将第三人称动词形式用于单数和大量名词：#"asks"#。
Did you forget a comma after a conjunctive/linking adverb?	你忘了在连接副词后加逗号了吗？
Did you forget something after #'An'#?	#'An'#之后你忘了什么吗？
Did you mean #"At me", "At her", "At him", "At us", or "At them"#?	你的意思是#"At me", "At her", "At him", "At us", or "At them"#吗？
Did you mean #"Could"#?	你的意思是#"Could"#吗？
Did you mean: #"Could"#?	你的意思是#"Could"#吗？
Did you mean #"Despite"# (or, alternatively, #'in spite of'#)?	你的意思是#"Despite"#（或者说，#'in spite of'#）吗？
Did you mean #"For me", "For her", "For him", "For us", or "For them"#?	你的意思是#"For me", "For her", "For him", "For us", or "For them"#？
Did you mean #"Hallo"#, the greeting? A halo is an optical phenomenon.	你是说#"Hallo"#，问候语吗？光晕是一种光学现象。
Did you mean #"If"# or is a comma missing #("I,")#?	您的意思是#"If"#还是缺少逗号#("I,")#？
Did you mean #"It's"# (=#"It has"#) instead of #"its"# (possessive pronoun)?	你的意思是#"It's"#（=#"It has"#）而不是#"its"#（所有格代词）？
Did you mean #"It's"# (=#"It is"#) instead of #'its'# (possessive pronoun)?	你的意思是#"It's"#（=#"It is"#）而不是#"its"#（所有格代词）？
Did you mean "Let's" (let's = let us; lets = 3rd person singular of 'let')?	你的意思是“让我们”（让我们=让我们；让我们=第三人称单数“让”）吗？
Did you mean "Lets" or "Let" (let's = let us; lets = 3rd person singular of 'let')?	你的意思是“让”还是“让”（让我们=让我们；让我们=第三人称单数“让”）？
Did you mean #"Merry" (=jolly, festive)#?	你是说#"Merry" (=jolly, festive)#吗？
Did you mean #"am" or "ate"#?	你的意思是#"am" or "ate"#？
Did you mean #"am", "are", "aren"#? Alternatively, check whether the singular of #'Students'# should be used.	你的意思是#"am", "are", "aren"#吗？或者，检查是否应使用#'Students'#的单数形式。
Did you mean #"am"#?	你的意思是#"am"#吗？
Did you mean #"and so on" (='etc.')#?	你的意思是#"and so on" (='etc.')#吗？
Did you mean #"arriving"#? Or maybe you should add a pronoun? In active voice, #'allow' + 'to'# takes an object, usually a pronoun.	你是说#"arriving"#？或者你应该加一个代词？在主动语态中，#'allow' + 'to'#取一个宾语，通常是代词。 
Did you mean #"being"#? Or maybe you should add a pronoun? In active voice, #'order' + 'to'# takes an object, usually a pronoun.	你是说#"being"#？或者你应该加一个代词？在主动语态中，#'order' + 'to'#取一个宾语，通常是代词。
Did you mean #"belief" (noun)# instead of #believe (verb)#?	你的意思是#"belief" (noun)#而不是#believe (verb)#？
Did you mean #"calendar"#, a system of organizing days? A 'calender' is a machine.	你的意思是#"calendar"#，一个组织日子的系统吗？“日历”是一台机器。
Did you mean #"care"#? Alternatively, check whether the singular of #"others"# should be used.	你的意思是#"care"#？或者，检查是否应使用#"others"#的单数形式。
Did you mean #"cheat"#? Alternatively, check whether the singular of #"students"# should be used.	你是说#"cheat"#？或者，检查是否应使用#'students'#的单数。
Did you mean #"cheating"#? Or maybe you should add a pronoun? In active voice, #'allow' + 'to'# takes an object, usually a pronoun.	你是说#"cheating"#？或者你应该加一个代词？在主动语态中，#'allow' + 'to'#取一个宾语，通常是代词。
Did you mean #"come"#? Alternatively, check whether the singular of #'friends'# should be used.	你是说#"come"#吗？或者，检查是否应使用#'friends'#的单数。
Did you mean #"competing"#? Or maybe you should add a pronoun? In active voice, #'order' + 'to'# takes an object, usually a pronoun.	你的意思是#"competing"#？或者你应该加一个代词？在主动语态中，#'order' + 'to'#取一个宾语，通常是代词。
Did you mean #"contact" (=muscular organ)#?	你的意思是#"contact" (=muscular organ)#？
Did you mean #"contain"#? As #'do'# is already inflected, the verb cannot also be inflected.	你的意思是#"contain"#？因为#'do'#已经变形，所以动词也不能变形。
Did you mean #"despite"# (or, alternatively, #'in spite of'#)?	你的意思是#"despite"#（或者说，#'in spite of'#）吗？
Did you mean #"displaying"#? Or maybe you should add a pronoun? In active voice, #'require' + 'to'# takes an object, usually a pronoun.	你的意思是#"displaying"#？或者你应该加一个代词？在主动语态中，#'require' + 'to'#取一个宾语，通常是代词。
Did you mean #"do"#? #'does'# is only used for the third person singular #(he/she/it)#.	你是说#"do"#吗？#'does'#仅用于第三人称单数#(he/she/it)#。
Did you mean #"doing"#? Or maybe you should add a pronoun? In active voice, #'allow' + 'to'# takes an object, usually a pronoun.	你是说#"doing"#吗？或者你应该加一个代词？在主动语态中，#'allow' + 'to'#取一个宾语，通常是代词。
Did you mean #"felt"#? Alternatively, check whether the singular of #'people'# should be used.	你的意思是#"felt"#？或者，检查是否应使用#'people'#的单数。
Did you mean #"fewer"#? The noun #dramas# is countable.	你的意思是#"fewer"#吗？名词#dramas#是可数的。
Did you mean #"fighting"#? Or maybe you should add a pronoun? In active voice, #'allow' + 'to'# takes an object, usually a pronoun.	你是说#"fighting"#？或者你应该加一个代词？在主动语态中，#'allow' + 'to'#取一个宾语，通常是代词。
Did you mean #"for"#? (#'since'# refers to a point in time, whereas #'for'# refers to a period)	你的意思是#"for"#？（#'since'#指时间点，而#'for'#指周期）
Did you mean #"from me", "from her", "from him", "from us", or "from them"#?	你的意思是#"from me", "from her", "from him", "from us", or "from them"#？
Did you mean #"going", "gonna"#? Or maybe you should add a pronoun? In active voice, #'teach' + 'to'# takes an object, usually a pronoun.	你的意思是#"going", "gonna"#吗？或者你应该加一个代词？在主动语态中，#'teach' + 'to'#取一个宾语，通常是一个代词。
Did you mean #"grandparent's"# or #"grandparents'"#?	你是指#"grandparent's"# or #"grandparents'"#？
Did you mean #"have", "haven"#? Alternatively, check whether the singular of #'students'# should be used.	你的意思是#"have", "haven"#吗？或者，检查是否应使用#'students'#的单数形式。
Did you mean #"have"#? (#'should of'# is probably an incorrect use of the verb phrase #'should have'#; as contraction #"should've"# sounds like #"could of"#)	你是说#"have"#？（#'should of'#可能是动词短语#'should have'#的错误用法；因为缩写#"should've"#听起来像#"could of"#）。
Did you mean #"heard"# (past tense of #'hear'#)?	你的意思是#“heard”#（#“hear”#的过去时）吗？
Did you mean #"help"#? As #'do'# is already inflected, the verb cannot also be inflected.	你是说#"help"#吗？因为#'do'#已经变形，所以动词也不能变形。
Did you mean #"helping"#? Or maybe you should add a pronoun? In active voice, #'order' + 'to'# takes an object, usually a pronoun.	你是说#"helping"#吗？或者你应该加一个代词？在主动语态中，#'order' + 'to'#取一个宾语，通常是代词。
Did you mean #"it's"# (=#"it is"#) instead of #'its'# (possessive pronoun)?	你的意思是#"it's"#（=#"it is"#）而不是#'its'#（所有格代词）？
Did you mean #"it's"# (=#it is#) instead of the possessive pronoun #'its'#?	你的意思是#"it's"#(=#it is#)而不是#'its'#所有格代词吗？
Did you mean #"its"# (possessive pronoun) instead of #'it's'# (=#it is#)?	你的意思是#"its"#（所有格代词）而不是#'it's'# (=#it is#)？
Did you mean #"its"# (possessive pronoun) instead of #'it's'# (short form of #'it is'#)?	你是指#"its"#（所有格代词）而不是#'it's'#（#'it is'#简称）吗？
Did you mean #"its"# (possessive pronoun)?	你的意思是#"its"#（所有格代词）？
Did you mean #"keeping"#? Or maybe you should add a pronoun? In active voice, #'advise' + 'to'# takes an object, usually a pronoun.	你是说#"keeping"#？或者你应该加一个代词？在主动语态中，#'advise' + 'to'#取一个宾语，通常是一个代词。 
Did you mean #"knew"# (past of #'to know'#)?	你的意思是#"knew"#（过去的#'to know'#）吗？
Did you mean #"laugh"#? Alternatively, check whether the singular of #'men'# should be used.	你是说#"laugh"#吗？或者，检查是否应使用#'men'#的单数。
Did you mean "let's" (let's = let us; lets = 3rd person singular of 'let')?	你的意思是“让我们”（让我们=让我们；让我们=第三人称单数“让”）吗？
Did you mean "lets" or "let" (let's = let us; lets = 3rd person singular of 'let')?	你的意思是“让”还是“让”（让我们=让我们；让我们=第三人称单数“让”）？
Did you mean #"live"#? Alternatively, check whether the singular of #'people'# should be used.	你是说#"live"#吗？或者，检查是否应使用#'people'#的单数。
Did you mean #"lose" (= miss, waste, suffer the loss etc.)#?	你的意思是#"lose" (= miss, waste, suffer the loss etc.)#吗？
Did you mean #"meantime"# (=#the period of time between two things#).	你的意思是#"meantime"#（=#the period of time between two things#）吗？
Did you mean #"messing"#? Or maybe you should add a pronoun? In active voice, #'allow' + 'to'# takes an object, usually a pronoun.	你是说#"messing"#吗？或者你应该加一个代词？在主动语态中，#'allow' + 'to'#取一个宾语，通常是代词。
Did you mean #"need"#? Alternatively, check whether the singular of #'tourists'# should be used.	你是说#"need"#？或者，检查是否应使用#'tourists'#的单数。
Did you mean #"now"# (=#at this moment#) instead of #'no'# (negation)?	你的意思是#"now"#(=#at this moment#)而不是#'no'#（否定）？
Did you mean #"of course"# (=#naturally#)?	你的意思是#"of course"#（=#naturally#）？
Did you mean #"on November"#? This seems to be a day date.	你的意思是#"on November"#吗？这似乎是一天的约会。
Did you mean #"on behalf" (in the name of, as a representative of)#?	你的意思是#"on behalf" (in the name of, as a representative of)#？
Did you mean #"on its obvious"#?	你的意思是#"on its obvious"#？
Did you mean #"overtime"# (=#time someone works beyond normal working hours#)?	你的意思是#"overtime"#（=#time someone works beyond normal working hours#）？
Did you mean #"parent's" or "parents'"#?	你是指#"parent's" or "parents'"#？
Did you mean #"quite"#? #'quiet'# means #'silent'#, #'quite'# mean #'very'# or #'to a moderate extent'#	你的意思是#"quite"#吗？#'quiet'#是指#'silent'#，#'quite'#是指#'very'#或#'to a moderate extent'#
Did you mean #"share"#? Alternatively, check whether the singular of #'students'# should be used.	你的意思是#"share"#？或者，检查是否应使用#'students'#的单数。 
Did you mean #"somewhat"# (=#slightly#)?	你的意思是#"somewhat"#（=#slightly#）？
Did you mean #"studying"#? Or maybe you should add a pronoun? In active voice, #'require' + 'to'# takes an object, usually a pronoun.	你是说#"studying"#吗？或者你应该加一个代词？在主动语态中，#'require' + 'to'#取一个宾语，通常是代词。
Did you mean #"teach"#? As #'do'# is already inflected, the verb cannot also be inflected.	你是说#"teach"#？因为#'do'#已经变形，所以动词也不能变形。
Did you mean #"than"#? #'than'# is used for comparisons, #'then'# is an expression of time.	你的意思是#"than"#？#'than'#用于比较，#'then'#是时间的表达式。
Did you mean #"want"#? Alternatively, check whether the singular of #'students'# should be used.	你是说#"want"#？或者，检查是否应使用#'students'#的单数。
Did you mean #"were"#, the simple past of #"to be"#?	你的意思是#"were"#，#"to be"#的简单过去吗？
Did you mean #"who"# instead of #'whom'#.	你的意思是#"who"#而不是#'whom'#。
Did you mean #"will ,"# or is a hyphen missing #"ill-,"# (e.g., #ill-treated, ill-advised#)?	你的意思是#"will ,"#，or is a hyphen missing，#“ill-，”#（例如，#虐待，不明智#）？
Did you mean #"will be" or "has been"#?	你的意思是#"will be" or "has been"#？
Did you mean #"working"#? Or maybe you should add a pronoun? In active voice, #'encourage' + 'to'# takes an object, usually a pronoun.	你是说#"working"#吗？或者你应该加一个代词？在主动语态中，#'encourage' + 'to'#取一个宾语，通常是代词。
Did you mean #'different "from"'#? #'Different than'# is often considered colloquial style.	你的意思是#'different "from"'#吗？#'Different than'#通常被认为是口语风格。
Did you mean simply #"consider all"#? You do not need the word #"about"# here.	你的意思是简单地#"consider all"#吗？这里不需要#"about"#这个词。
Did you mean the adjective #"Chinese-speaking"#?	你是指形容词#"Chinese-speaking"#吗？
Did you mean the adverb #"well"#?	你是说副词#"well"#吗？
Did you mean the noun #"cleanup"# instead of the phrasal verb #'clean up'#?	你是指名词#"cleanup"#而不是短语动词#'clean up'#吗？
Did you mean the plural instead of the possessive?	你的意思是复数而不是所有格？
Did you mean to refer to the current year? #February 20th, 2019# is not #a Sunday#, but #a Wednesday#.	你是指当年吗？#February 20th, 2019#不是#a Sunday#，而是#a Wednesday#。
Don't include #'a'# after a classification term. Use simply #"kind of"#.	不要在分类术语后包含#'a'#。简单使用#"kind of"#。
Don't put a space after the opening parenthesis	不要在左括号后加空格
Don't put a space before the full stop	不要在全站前留出空间
Don't use indefinite articles with plural words. Did you mean #"an activity"# or simply #"activities"#?	不要使用带有复数词的不定冠词。你是指#"an activity"#还是简单的#"activities"#？ 
Don't use indefinite articles with plural words. Did you mean #"animal"#?	不要使用带有复数词的不定冠词。你是说#"animal"#吗？
Double negatives are discouraged in standard English. Can you reformulate this phrase or is a comma missing?	标准英语不鼓励双重否定。你能重新表述这个短语吗？还是缺少逗号？
Duplicated #'the'# in the phrase: #'the Paly the'#. Did you mean #"Paly the"#?	在短语中复制了#'the'#：#'the Paly the'#。你的意思是#"Paly the"#？
For negated sentences, use #"either"# instead of #'too'#.	对于否定句，使用#"either"#而不是#'too'#。
If #" if"# starts an indirect question, you do not need to put a comma before it.	如果#" if"#开始一个间接问题，您不需要在它前面加逗号。
If #'Learning'# is used as a verb, it usually requires the infinitive: #"to paint"#.	如果#'Learning'#用作动词，则通常需要不定式来#"to paint"#。
If #'people'# is plural here, don't use the third-person singular verb.	如果#'people'#在这里是复数，不要使用第三人称单数动词。
If the text is a generality, 'of the' is not necessary. Do you mean "some"?	如果文本是一般性的，则不需要“of the”。你是说“一些”？
If you mean a great quantity, use #"A lot of kind"#?	如果你的意思是大量的，使用#"A lot of kind"#吗？ 
In English, people don't say #"interested by'#. They say, #"interested in'#.  Did you mean #"interested in"#?	在英语中，人们不会说#"interested by'#。他们说，#"interested in'#。你的意思是#"interested in'#吗？
In English, the normal collocation for #"party"# is #"have"# or #"throw"#. Revise your sentence: #"to throw a party" or "to have a party"#.	在英语中，#"party"#的正常搭配是#"have"#或#"throw"#。修改你的句子：#"to throw a party" or "to have a party"#。
In formal / written English, it is recommended that you use a subject pronoun.	在正式/书面英语中，建议使用主语代词。
In the grammatical structure #'look + forward + to + verb'#, the verb #'to'# is used with the gerund: #"to appreciating"#.	在语法结构#'look + forward + to + verb'#中，动词#'to'#与动名词一起使用：#"to appreciating"#。
In the grammatical structure #'pronoun + be/get + used + to + verb'#, the verb #'used'# is used with the gerund: #"used to being"#.	在语法结构#'pronoun + be/get + used + to + verb'#中，动词#'used'#与动名词一起使用：#"used to being"#。
Incorrect form of the pronoun #'I'#. Use: #"between me"#.	代词#'I'#的形式不正确。使用：#"between me"#。
Incorrect phrase. Use #"very well-known"# or #"well-known"# instead.	不正确的短语。用#"very well-known"#或#"well-known"#代替。
Incorrect plural form; it does not need any apostrophe. Did you mean #"Amerias"#?	复数形式不正确；它不需要任何撇号。你的意思是#"Amerias"#？
Incorrect singular possessive form after the number #(two)#. Did you mean #"days"# or #"days'"#?	数字#(two)#后的单数所有格形式不正确。你的意思是#"days"#还是#"days'"#？
Interjections are usually punctuated.	感叹词通常加标点。
Is this the personal pronoun #'I'#? It is spelled uppercase.	这是人称代词#'I'#吗？它是大写的。
It's never correct to use #'of'# after a modal verb. Use #"may have"#, or, in informal register, #"may've"#.	在情态动词后使用#'of'#永远不正确。使用#"may have"#，或在非正式登记簿中使用#"may've"#。
Make sure that #'Fr'# is an abbreviation for #'Father' or the element francium#. Do you mean #"For"#?	确保#'Fr'#是#'Father' or the element francium#的缩写。你的意思是#"For"#？
Make sure that #'Th'# is the chemical symbol for #thorium#, and not a typing error. Did you mean #"The"#?	确保#'Th'#是#thorium#的化学符号，而不是输入错误。你的意思是#"The"#？
Make sure that #'au'# means #'astronomical unit'#. If you mean the chemical symbol for #gold#, use #"Au"#.	确保#'au'#表示#'astronomical unit'#。如果你是指#gold#的化学符号，用#"Au"#。
Make sure that #'fr'# means #'franc'#. Do you mean #"for"#?	确保#'fr'#的意思是#'franc'#。你的意思是#"for"#？
Maybe a wrong construction: #a/the + infinitive#	可能是构造错误：#a/the + infinitive#
Maybe you need to remove one determiner so that only #"A"# or #"A"# is left.	也许你需要去掉一个洗涤剂，这样就只剩下#"A"#或#"A"#。
Maybe you need to remove the second determiner so that only #"A"# or #"this"# is left.	也许你需要移除第二个去污剂，这样就只剩下#"A"#或#"this"#。
Maybe you should omit the article #'a'#, leaving only #"much"#.	也许你应该省略冠词#'a'#，只留下#"much"#。
Non-standard use of the comparative or superlative. Did you mean #"least much"#?	比较级或最高级的非标准用法。你的意思是#"least much"#吗？
Nonstandard phrase. Did you mean: #"From 1 to 0"#?	非标准短语。你的意思是：#"From 1 to 0"#？
Note: #went# is a past participle of #"wend"#. Did you mean #"gone"# (past participle of #"go"#)?	注：#went#是#"wend"#的过去分词。你的意思是#"gone"#（#"go"#的过去分词）？
One of these determiners is redundant in this context. Choose only one: #"a room" or "another room"#.	在这种情况下，其中一个威慑者是多余的。只选择一个：#"a room" or "another room"#。
Only in a nautical context #'payed'# is an acceptable past tense form of #'pay'#. Please check!	只有在航海上下文中，#'payed'#才是#'pay'#的可接受的过去时形式。请核对一下！
Please check if the base form of the verb should be used here.	请检查此处是否应使用动词的基本形式。
Please check the order of words and the punctuation of this sentence!	请检查单词的顺序和这句话的标点符号！
Please check the suffix, if this is an ordinal number.	如果这是一个序数，请检查后缀。
Please check whether #'Both of them'# should be followed by a plural form: #"contain"#	请检查#'Both of them'#后是否应加上复数形式：#"contain"#
Please check whether #'to'# is missing here (to allow to do something).	请检查此处是否缺少#'to'#（允许执行某些操作）。
Please check whether a plural form of #'poetry'# should be used.	请检查是否应使用#'poetry'#的复数形式。
Please check whether a verb is missing here or whether #'there'# should be #'their'#.	请检查此处是否缺少动词，或#'there'#是否应为#'their'#。
Please check whether a verb is missing here.	请检查这里是否缺少动词。
Please check whether a word is missing between #'the'# and #'was'# or whether #'the'# is the correct determiner.	请检查#'the'#和#'was'#之间是否漏掉了一个词，或者#'the'#是否是正确的限定词。
Please check whether an article is missing: #"a Chinese"#.	请检查是否丢失冠词：#"a Chinese"#。
Please check whether an object form is required here.	请检查此处是否需要对象窗体。
Please check whether one of these words is redundant.	请检查这些单词中是否有一个是多余的。
Please check whether the nominative #"He"# should be used.	请检查是否应使用提名的#"He"#
Possible agreement error	可能的协议错误
Possible agreement error - use third-person verb forms for singular and mass nouns: #"appears"#.	可能的一致性错误-使用第三人称动词形式表示单数和量词：#"appears"#。
Possible agreement error -- use past participle here: #"armed"#.	可能的协议错误--请在此处使用过去分词：#"armed"#。
Possible agreement error -- use verb form: #"live"#.	可能的协议错误——使用动词形式：#"live"#。
Possible agreement error. Consider using: #"one thousand"#	可能的协议错误。考虑使用#"one thousand"#
Possible agreement error. Did you mean #"years"?#	可能的协议错误。你是说#"years"?#吗？
Possible agreement error. Do you mean #"becomes"#? (Some collective nouns can be treated as both singular and plural, so #'become'# is not always incorrect.)	可能的协议错误。你的意思是#"becomes"#？（有些集合名词可以同时看作单数和复数，因此#"becomes"#并不总是错误的。）
Possible agreement error. The noun #'yes'# seems to be countable, so consider using: #"yeses"#, #"yesses"#.	可能的协议错误。名词“#'yes'#似乎是可数的，所以考虑使用：#"yeses"#, #"yesses"#。
Possible agreement error. The noun #Beer# seems to be countable; consider using: "many beers".	可能的协议错误。#Beer#这个名词似乎是可数的；考虑使用"many beers"。
Possible agreement error. The noun #boniness# seems to be uncountable; consider using: #"much boniness", "a good deal of boniness"#.	可能的协议错误。名词#boniness#似乎不可数；可以考虑使用：#"much boniness", "a good deal of boniness"#。
Possible agreement error. The noun #person# seems to be countable; consider using: #"Many people", "Many persons"#.	可能的协议错误。名词#person#似乎是可数的；考虑使用：#"Many people", "Many persons"#。
Possible agreement error. The noun pollution seems to be uncountable; consider using: #"much pollution", "a good deal of pollution"#.	可能的协议错误。“污染”这个名词似乎是不可数的；考虑使用：#"much pollution", "a good deal of pollution"#。
Possible agreement error. The noun #visiter# seems to be countable; consider using: #"Plenty of visiters"#.	可能的协议错误。名词#visiter#似乎是可数的；请考虑使用：#"Plenty of visiters"#。
Possible agreement error. You should probably use: #"(Arts) presents"#.	可能的协议错误。你应该使用：#"(Arts) presents"#。
Possible agreement error. You should probably use: #"Eat plants" or "Eats plant"#.	可能的协议错误。你应该使用：#"Eat plants" or "Eats plant"#。
Possible fragment. Please, verify.	可能的碎片。请核实一下。
Possible grammar error. Make sure that #'is I am going'# is correct.	可能的语法错误。确保#'is I am going'#是正确的。
Possible grammatical error. You used a past participle without using any required verb #('be' or 'have')#. Did you mean #"began"#?	可能的语法错误。使用过去分词时不使用任何必需的动词#('be' or 'have')#。你的意思是#"began"#吗？
Possible spelling mistake found	发现可能的拼写错误
Possible spelling mistake. Did you mean #"abilities"#, the plural form of the noun #'ability'#?	可能的拼写错误。你的意思是#"abilities"#，#'ability'#名词的复数形式？ 
Possible spelling mistake. Did you mean #"admitted"#, the past tense form of the verb #'admit'#?	可能的拼写错误。你的意思是#"admitted"#，动词#"admitted"#的过去时态形式吗？
Possible spelling mistake. Did you mean #"worse"#, the comparative form of the adjective #'ill'#?	可能的拼写错误。你的意思是#"worse"#，形容词#'ill'#的比较形式？
Possible spelling mistake. Did you mean #"worst"#, the superlative form of the adjective #'bad'#?	可能的拼写错误。你的意思是#"worst"#,#'bad'#这个形容词的最高级形式吗？
Possible typo. Did you mean #"A" or "He"#?	可能的键入。你的意思是#"A" or "He"#？
Possible typo. Did you mean: #"A" or "He"#?	可能的键入。你的意思是#"A" or "He"#？
Possible typo: apostrophe is missing. Did you mean #"activities'" or "activity's"#?	可能是拼写错误：缺少撇号。你的意思是#"activities'" or "activity's"#？
Possible typo: you repeated a whitespace	可能的拼写错误：您重复了空格
Possible typo: you repeated a word	可能的拼写错误：你重复了一个词
